id,journal_text,ambience_type,duration_min,sleep_hours,energy_level,stress_level,time_of_day,previous_day_mood,face_emotion_hint,reflection_quality,emotional_state,intensity,clean_text,word_count,char_count,is_short,signal_conflict,was_negative_yesterday,stress_energy_gap
43,The mountain ambience helped me stop drifting and concentrate on my next steps. I should begin with the hardest task first.,mountain,8,7.0,3,2,evening,calm,none,vague,focused,2,mountain ambience helped stop drifting concentrate next steps begin hardest task first,21,123,0,0,0,-1
44,"I tried to relax during the mountain ambience, yet my thoughts kept racing. I keep wanting to switch tasks.",mountain,18,4.5,4,5,early_morning,calm,neutral_face,conflicted,restless,3,tried relax mountain ambience yet thoughts kept racing keep wanting switch tasks,19,107,0,0,0,1
45,"The cafe sounds were nice, but I still feel unsettled and fidgety. I keep wanting to switch tasks.",cafe,10,5.0,3,4,evening,mixed,happy_face,clear,restless,4,cafe sounds nice still feel unsettled fidgety keep wanting switch tasks,18,98,0,1,1,1
46,"The mountain track helped a little, though something still feels off underneath. There is relief, but also some lingering pressure.",mountain,20,7.0,4,2,morning,neutral,none,clear,mixed,2,mountain track helped little though something still feels underneath relief also lingering pressure,20,131,0,0,0,-2
47,The cafe session slowed my thoughts and I feel more settled now. I think I can start gently today.,cafe,12,7.0,2,2,afternoon,focused,happy_face,clear,calm,4,cafe session slowed thoughts feel settled think start gently today,19,98,0,0,0,0
48,"I noticed the ocean sounds, but emotionally I still feel mostly the same. Maybe I need more time to notice a difference.",ocean,18,7.5,3,3,morning,neutral,none,clear,neutral,1,noticed ocean sounds emotionally still feel mostly maybe need time notice difference,22,120,0,0,0,0
49,"i feel lighter after the ocean sounds, like my mind finally softened i think i can start gently today",ocean,25,7.5,4,1,morning,mixed,none,clear,calm,4,feel lighter ocean sounds like mind finally softened think start gently today,19,101,0,0,1,-3
50,"Even with the cafe session, my mind kept jumping between tasks. I still feel a low buzz in my body.",cafe,15,5.5,4,5,evening,focused,tense_face,clear,restless,4,even cafe session mind kept jumping tasks still feel low buzz body,20,99,0,0,0,1
51,Nothing strong came up during the forest session; I feel fairly normal At least I paused for a moment,forest,3,6.5,3,2,early_morning,mixed,none,clear,neutral,2,nothing strong came forest session feel fairly normal least paused moment,19,101,0,0,1,-1
52,"I liked the ocean session, but my mood is still split between calm and tension. Part of me wants rest, part of me wants action.",ocean,12,6.0,3,3,evening,restless,calm_face,conflicted,mixed,4,liked ocean session mood still split calm tension part wants rest part wants action,25,127,0,0,1,0
53,"I feel lighter after the ocean sounds, like my mind finally softened. The pace of my breathing changed.",ocean,10,7.5,4,2,morning,unknown,neutral_face,conflicted,calm,4,feel lighter ocean sounds like mind finally softened pace breathing changed,18,103,0,0,0,-2
54,The ocean session wasn't enough today; everything still feels heavy and too much.,ocean,25,4.5,2,4,night,focused,none,vague,overwhelmed,5,ocean session enough today everything still feels heavy much,13,81,0,0,0,2
55,"I feel lighter after the cafe sounds, like my mind finally softened. My shoulders feel less tense.",cafe,15,6.0,4,2,afternoon,overwhelmed,happy_face,vague,calm,4,feel lighter cafe sounds like mind finally softened shoulders feel less tense,17,98,0,0,1,-2
56,After the forest track I feel peaceful and less pulled in every direction.,forest,20,6.5,4,2,afternoon,neutral,calm_face,clear,calm,3,forest track feel peaceful less pulled every direction,13,74,0,0,0,-2
57,"I feel lighter after the rain sounds, like my mind finally softened.",rain,20,6.0,3,2,morning,neutral,none,clear,calm,3,feel lighter rain sounds like mind finally softened,12,68,0,0,0,-1
58,"The forest sounds were nice, but I still feel unsettled and fidgety.",forest,12,6.0,3,3,early_morning,overwhelmed,tired_face,clear,restless,5,forest sounds nice still feel unsettled fidgety,12,68,0,0,1,0
59,The mountain ambience helped me stop drifting and concentrate on my next steps.,mountain,8,7.0,3,3,afternoon,mixed,calm_face,clear,focused,3,mountain ambience helped stop drifting concentrate next steps,13,79,0,0,1,0
60,"The mountain ambience was pleasant, though I can't say it shifted my mood much. I can continue the day as usual.",mountain,25,7.0,3,3,morning,restless,happy_face,clear,neutral,3,mountain ambience pleasant though say shifted mood much continue day usual,21,112,0,0,1,0
61,"Even with the ocean session, my mind kept jumping between tasks.",ocean,12,5.0,3,4,night,neutral,neutral_face,conflicted,restless,3,even ocean session mind kept jumping tasks,11,64,0,0,0,1
62,"After the rain sounds I feel better than before, but not completely okay.",rain,15,5.5,3,4,early_morning,neutral,none,conflicted,mixed,4,rain sounds feel better not completely okay,13,73,0,0,0,1
63,The mountain session wasn't enough today; everything still feels heavy and too much. Even small tasks feel big right now.,mountain,18,4.5,1,5,evening,restless,none,clear,overwhelmed,5,mountain session enough today everything still feels heavy much even small tasks feel big right,20,121,0,0,1,4
64,The ocean background made it easier to organize my thoughts and work plan. I can see my priorities more clearly.,ocean,20,6.0,4,1,early_morning,focused,happy_face,conflicted,focused,2,ocean background made easier organize thoughts work plan see priorities clearly,20,112,0,0,0,-3
65,"after the mountain sounds i feel better than before, but not completely okay. it's like two moods are sitting together.",mountain,20,4.5,3,4,afternoon,unknown,neutral_face,vague,mixed,2,mountain sounds feel better not completely okay like two moods sitting together,20,119,0,0,0,1
66,After the mountain track I feel peaceful and less pulled in every direction. My shoulders feel less tense.,mountain,12,8.0,2,2,early_morning,restless,neutral_face,clear,calm,4,mountain track feel peaceful less pulled every direction shoulders feel less tense,18,106,0,0,1,0
67,"The cafe session helped a little, though I still feel pulled in too many directions.",cafe,20,5.0,4,5,morning,neutral,tense_face,clear,restless,4,cafe session helped little though still feel pulled many directions,15,84,0,0,0,1
68,The cafe background made it easier to organize my thoughts and work plan.,cafe,18,6.0,3,3,early_morning,neutral,neutral_face,conflicted,focused,4,cafe background made easier organize thoughts work plan,13,73,0,0,0,0
69,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I almost wanted to stop midway.",cafe,3,4.5,2,5,night,restless,tired_face,clear,overwhelmed,5,sat cafe ambience still feel flooded need almost wanted stop midway,23,111,0,0,1,3
70,"I feel lighter after the forest sounds, like my mind finally softened My shoulders feel less tense",forest,10,7.0,3,2,afternoon,neutral,neutral_face,clear,calm,3,feel lighter forest sounds like mind finally softened shoulders feel less tense,17,98,0,0,0,-1
71,"I sat through the cafe ambience, but I still feel flooded by what I need to do. I'm carrying too much in my head.",cafe,8,6.0,2,4,afternoon,neutral,tense_face,clear,overwhelmed,5,sat cafe ambience still feel flooded need carrying much head,24,113,0,0,0,2
72,"i sat through the mountain ambience, but i still feel flooded by what i need to do.",mountain,18,3.5,3,5,night,neutral,tense_face,clear,overwhelmed,4,sat mountain ambience still feel flooded need,17,83,0,0,0,2
73,"I noticed the ocean sounds, but emotionally I still feel mostly the same At least I paused for a moment",ocean,12,5.5,2,3,morning,calm,neutral_face,clear,neutral,1,noticed ocean sounds emotionally still feel mostly least paused moment,20,103,0,0,0,1
74,Nothing strong came up during the forest session; I feel fairly normal I can continue the day as usual,forest,12,7.0,3,4,night,restless,neutral_face,clear,neutral,1,nothing strong came forest session feel fairly normal continue day usual,19,102,0,0,1,1
75,I couldn't really settle into the rain track; I kept thinking of everything at once. I keep wanting to switch tasks.,rain,20,4.5,4,3,evening,overwhelmed,tense_face,vague,restless,4,really settle rain track kept thinking everything keep wanting switch tasks,21,116,0,0,1,-1
76,"The cafe ambience was pleasant, though I can't say it shifted my mood much. At least I paused for a moment.",cafe,30,6.5,4,3,night,restless,neutral_face,conflicted,neutral,2,cafe ambience pleasant though say shifted mood much least paused moment,21,107,0,0,1,-1
77,"After the forest sounds I feel better than before, but not completely okay. I can't tell if I need rest or momentum.",forest,18,4.5,2,2,evening,restless,calm_face,clear,mixed,3,forest sounds feel better not completely okay tell need rest momentum,22,116,0,0,1,0
78,"After the cafe sounds I feel better than before, but not completely okay. I feel better and not better at the same time.",cafe,8,6.5,3,3,evening,calm,tense_face,clear,mixed,3,cafe sounds feel better not completely okay feel better not better time,23,120,0,0,0,0
79,I feel both comforted and distracted after the mountain ambience. It's like two moods are sitting together.,mountain,12,6.0,4,2,morning,restless,neutral_face,vague,mixed,3,feel comforted distracted mountain ambience like two moods sitting together,17,107,0,0,1,-2
80,the cafe ambience helped me stop drifting and concentrate on my next steps. i should begin with the hardest task first.,cafe,25,5.5,5,2,night,mixed,none,conflicted,focused,3,cafe ambience helped stop drifting concentrate next steps begin hardest task first,21,119,0,0,1,-3
81,"I feel lighter after the mountain sounds, like my mind finally softened. I think I can start gently today.",mountain,12,6.0,3,2,morning,focused,neutral_face,clear,calm,3,feel lighter mountain sounds like mind finally softened think start gently today,19,106,0,0,0,-1
82,"I came in distracted, but I left the rain session with a sharper mind. I should begin with the hardest task first.",rain,25,6.0,5,2,evening,calm,neutral_face,clear,focused,4,came distracted left rain session sharper mind begin hardest task first,22,114,0,0,0,-3
83,"I started scattered, but the ocean session helped me lock in on what matters. My to-do list feels less chaotic.",ocean,15,7.5,3,2,afternoon,calm,neutral_face,clear,focused,4,started scattered ocean session helped lock matters list feels less chaotic,20,111,0,0,0,-1
84,"I feel lighter after the ocean sounds, like my mind finally softened. The pace of my breathing changed.",ocean,35,8.0,3,3,early_morning,focused,calm_face,conflicted,calm,3,feel lighter ocean sounds like mind finally softened pace breathing changed,18,103,0,0,0,0
85,"Even after the forest track, I feel exhausted and emotionally overloaded.",forest,8,5.5,2,5,afternoon,neutral,tired_face,clear,overwhelmed,5,even forest track feel exhausted emotionally overloaded,11,73,0,0,0,3
86,The forest session slowed my thoughts and I feel more settled now. My shoulders feel less tense.,forest,10,6.5,4,3,evening,calm,none,clear,calm,2,forest session slowed thoughts feel settled shoulders feel less tense,17,96,0,0,0,-1
87,"The forest session made me calmer, but part of me still feels uneasy There is relief, but also some lingering pressure",forest,8,4.5,4,4,night,focused,tense_face,clear,mixed,3,forest session made calmer part still feels uneasy relief also lingering pressure,21,118,0,0,0,0
88,"I noticed the rain sounds, but emotionally I still feel mostly the same. Nothing really clicked yet. Maybe later I'll understand it more.",rain,20,6.0,3,3,evening,calm,neutral_face,vague,neutral,1,noticed rain sounds emotionally still feel mostly nothing really clicked yet maybe later understand,23,137,0,0,0,0
89,"Even with the mountain session, my mind kept jumping between tasks.",mountain,15,6.5,3,4,morning,calm,tense_face,clear,restless,4,even mountain session mind kept jumping tasks,11,67,0,0,0,1
90,I couldn't really settle into the cafe track; I kept thinking of everything at once. Part of me wants to do everything at once.,cafe,8,6.5,2,5,early_morning,overwhelmed,neutral_face,conflicted,restless,4,really settle cafe track kept thinking everything part wants everything,24,127,0,0,1,3
91,"The cafe track was fine. I feel steady, not especially better or worse.",cafe,20,7.0,3,3,evening,neutral,neutral_face,clear,neutral,1,cafe track fine feel steady not especially better worse,13,71,0,0,0,0
92,"The forest track was fine I feel steady, not especially better or worse At least I paused for a moment Maybe later I'll understand it more",forest,15,5.5,2,3,morning,overwhelmed,neutral_face,vague,neutral,1,forest track fine feel steady not especially better worse least paused moment maybe later understand,26,138,0,0,1,1
93,"Even with the cafe session, my mind kept jumping between tasks. Part of me wants to do everything at once.",cafe,10,5.0,3,5,early_morning,restless,tired_face,conflicted,restless,4,even cafe session mind kept jumping tasks part wants everything,20,106,0,0,1,2
94,"I tried to relax during the rain ambience, yet my thoughts kept racing. I keep wanting to switch tasks.",rain,20,6.0,3,4,early_morning,overwhelmed,none,conflicted,restless,4,tried relax rain ambience yet thoughts kept racing keep wanting switch tasks,19,103,0,0,1,1
95,"I noticed the rain sounds, but emotionally I still feel mostly the same. idk.",rain,30,6.5,3,3,night,overwhelmed,neutral_face,conflicted,neutral,2,noticed rain sounds emotionally still feel mostly idk,14,77,0,0,1,0
96,I couldn't really settle into the forest track; I kept thinking of everything at once. I keep wanting to switch tasks.,forest,35,6.0,3,3,afternoon,restless,neutral_face,clear,restless,4,really settle forest track kept thinking everything keep wanting switch tasks,21,118,0,0,1,0
97,"The mountain session made me calmer, but part of me still feels uneasy. I feel better and not better at the same time.",mountain,15,6.0,3,3,afternoon,neutral,neutral_face,clear,mixed,2,mountain session made calmer part still feels uneasy feel better not better time,23,118,0,0,0,0
98,"The ocean session helped a little, though I still feel pulled in too many directions. I still feel a low buzz in my body.",ocean,20,4.5,2,5,afternoon,mixed,neutral_face,clear,restless,4,ocean session helped little though still feel pulled many directions still feel low buzz body,24,121,0,0,1,3
99,I feel mentally clear after the rain session and ready to tackle one thing at a time. I can see my priorities more clearly. I should use this window well.,rain,18,6.0,4,1,evening,overwhelmed,neutral_face,clear,focused,2,feel mentally clear rain session ready tackle one thing time see priorities clearly use window well,30,154,0,0,1,-3
100,"The forest track helped a little, though something still feels off underneath.",forest,10,5.5,4,2,evening,calm,neutral_face,clear,mixed,2,forest track helped little though something still feels underneath,12,78,0,0,0,-2
101,"After the forest sounds I feel better than before, but not completely okay. I feel better and not better at the same time.",forest,15,7.0,2,2,afternoon,restless,none,clear,mixed,4,forest sounds feel better not completely okay feel better not better time,23,122,0,0,1,0
102,"I feel lighter after the forest sounds, like my mind finally softened. The pace of my breathing changed.",forest,12,7.0,3,1,afternoon,neutral,none,clear,calm,2,feel lighter forest sounds like mind finally softened pace breathing changed,18,104,0,0,0,-2
103,"I tried to relax during the mountain ambience, yet my thoughts kept racing. I still feel a low buzz in my body. idk.",mountain,12,6.0,3,3,night,restless,tense_face,conflicted,restless,3,tried relax mountain ambience yet thoughts kept racing still feel low buzz body idk,23,116,0,0,1,0
104,After the rain track I feel peaceful and less pulled in every direction. I think I can start gently today.,rain,15,8.0,3,2,early_morning,calm,neutral_face,conflicted,calm,3,rain track feel peaceful less pulled every direction think start gently today,20,106,0,0,0,-1
105,The rain session wasn't enough today; everything still feels heavy and too much. I feel emotionally tired. I almost wanted to stop midway.,rain,15,5.5,2,5,night,calm,none,conflicted,overwhelmed,4,rain session enough today everything still feels heavy much feel emotionally tired almost wanted stop midway,23,138,0,0,0,3
106,"Even with the cafe session, my mind kept jumping between tasks. I still feel a low buzz in my body.",cafe,35,5.5,3,3,morning,unknown,tense_face,vague,restless,5,even cafe session mind kept jumping tasks still feel low buzz body,20,99,0,0,0,0
107,The ocean ambience helped me stop drifting and concentrate on my next steps. I should begin with the hardest task first.,ocean,12,7.0,4,2,early_morning,restless,calm_face,vague,focused,3,ocean ambience helped stop drifting concentrate next steps begin hardest task first,21,120,0,0,1,-2
108,"I liked the cafe session, but my mood is still split between calm and tension. There is relief, but also some lingering presure. I can't tell if I need rest or momentum.",cafe,18,7.0,3,4,night,calm,neutral_face,vague,mixed,4,liked cafe session mood still split calm tension relief also lingering presure tell need rest momentum,32,169,0,0,0,1
109,"I wasn't expecting much, but the forest session made me feel quiet inside.",forest,25,7.5,3,3,morning,focused,happy_face,clear,calm,3,expecting much forest session made feel quiet inside,13,74,0,0,0,0
110,"I came in distracted, but I left the cafe session with a sharper mind.",cafe,15,7.0,3,2,evening,calm,happy_face,vague,focused,3,came distracted left cafe session sharper mind,14,70,0,0,0,-1
111,"After the forest sounds I feel better than before, but not completely okay.",forest,25,5.0,2,3,early_morning,neutral,calm_face,clear,mixed,2,forest sounds feel better not completely okay,13,75,0,0,0,1
112,After the rain track I feel peaceful and less pulled in every direction. The pace of my breathing changed.,rain,10,6.5,4,1,morning,calm,calm_face,clear,calm,3,rain track feel peaceful less pulled every direction pace breathing changed,19,106,0,0,0,-3
113,"I wanted the mountain to calm me, but today my stress feels bigger than the session I'm carrying too much in my head",mountain,20,4.5,1,4,early_morning,unknown,tired_face,conflicted,overwhelmed,4,wanted mountain calm today stress feels bigger session carrying much head,23,116,0,0,0,3
114,"I feel lighter after the mountain sounds, like my mind finally softened. My shoulders feel less tense.",mountain,25,6.0,4,3,night,overwhelmed,calm_face,clear,calm,4,feel lighter mountain sounds like mind finally softened shoulders feel less tense,17,102,0,0,1,-1
115,"Even after the rain track, I feel exhausted and emotionally overloaded. I almost wanted to stop midway.",rain,15,4.5,2,4,morning,focused,tired_face,clear,overwhelmed,4,even rain track feel exhausted emotionally overloaded almost wanted stop midway,17,103,0,0,0,2
116,Nothing strong came up during the rain session; I feel fairly normal. I can continue the day as usual.,rain,20,7.5,3,3,afternoon,neutral,none,clear,neutral,2,nothing strong came rain session feel fairly normal continue day usual,19,102,0,0,0,0
117,"The mountain session gave me a pause, but the pressure is still sitting hard on me.",mountain,10,4.0,2,5,afternoon,calm,tense_face,vague,overwhelmed,5,mountain session gave pause pressure still sitting hard,16,83,0,0,0,3
118,"Even after the cafe track, I feel exhausted and emotionally overloaded. It's hard to know where to begin.",cafe,15,5.5,3,4,morning,mixed,none,clear,overwhelmed,4,even cafe track feel exhausted emotionally overloaded hard know begin,18,105,0,0,1,1
119,"The mountain session helped a little, though I still feel pulled in too many directions idk.",mountain,12,6.5,3,5,afternoon,focused,none,clear,restless,4,mountain session helped little though still feel pulled many directions idk,16,92,0,0,0,2
120,after the mountain track i feel peaceful and less pulled in every direction.,mountain,25,8.0,3,3,evening,overwhelmed,calm_face,clear,calm,3,mountain track feel peaceful less pulled every direction,13,76,0,0,1,0
121,"After a few minutes some moments felt peaceful, others not so I sat with that feeling.",forest,18,4.0,5,4,morning,calm,none,clear,mixed,5,minutes moments felt peaceful others not sat feeling,16,86,0,0,0,-1
122,At one point it felt like a normal moment even if only briefly.,forest,25,4.0,2,4,evening,restless,tense_face,clear,neutral,1,one point felt like normal moment even briefly,13,63,0,0,1,2
123,For some reason teh pressure didn't really go away for a moment.,forest,8,7.0,1,5,evening,mixed,tense_face,conflicted,overwhelmed,2,reason teh pressure really go away moment,12,64,0,0,1,4
124,After a few minutes I felt a little calmer but still distracted and I wasn't expecting that.,forest,15,6.0,4,3,afternoon,restless,none,vague,mixed,1,minutes felt little calmer still distracted expecting,17,92,0,0,1,-1
125,At one point it felt like a normal moment but it didn't last long.,ocean,20,8.0,2,3,morning,focused,tense_face,vague,neutral,3,one point felt like normal moment last long,14,66,0,0,0,1
126,Gradually things felt more peaceful so I sat with that feeling.,ocean,15,5.0,3,2,afternoon,mixed,tense_face,conflicted,calm,5,gradually things felt peaceful sat feeling,11,63,0,0,1,-1
127,I noticed teh pressure didn't really go away so I sat with that feeling.,cafe,25,4.0,1,2,afternoon,mixed,calm_face,vague,overwhelmed,4,noticed teh pressure really go away sat feeling,14,72,0,0,1,1
